,Year,Ceremony,Award,Winner,Name,Film
92,1930,3,Cinematography,0,Hell's Angels ,"(Gaetano Gaudio), (Harry Perry)"
93,1930,3,Cinematography,0,The Love Parade ,(Victor Milner)
94,1930,3,Cinematography,1,With Byrd at the South Pole ,"Joseph T. Rucker, Willard Van Der Veer"
95,1930,3,Director,0,Clarence Brown,Anna Christie; and Romance
96,1930,3,Director,0,Robert Leonard,The Divorcee
97,1930,3,Director,0,Ernst Lubitsch,The Love Parade
98,1930,3,Director,1,Lewis Milestone,All Quiet on the Western Front
99,1930,3,Director,0,King Vidor,Hallelujah
100,1930,3,Best Picture,1,Universal,All Quiet on the Western Front 
101,1930,3,Best Picture,0,Cosmopolitan,The Big House 
102,1930,3,Best Picture,0,Warner Brothers,Disraeli 
103,1930,3,Best Picture,0,Metro-Goldwyn-Mayer,The Divorcee 
104,1930,3,Best Picture,0,Paramount Famous Lasky,The Love Parade 
105,1930,3,Sound Recording,1,The Big House ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
106,1930,3,Sound Recording,0,The Case of Sergeant Grischa ,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)"
107,1930,3,Sound Recording,0,The Love Parade ,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)"
108,1930,3,Sound Recording,0,Raffles ,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)"
109,1930,3,Sound Recording,0,Song of the Flame ,"(First National Studio Sound Department, George Groves, Sound Director)"
110,1930,3,Writing (Adapted Screenplay),0,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front 
111,1930,3,Writing (Adapted Screenplay),1,Frances Marion,The Big House 
112,1930,3,Writing (Adapted Screenplay),0,(Julian Josephson),Disraeli 
113,1930,3,Writing (Adapted Screenplay),0,(John Meehan),The Divorcee 
114,1930,3,Writing (Adapted Screenplay),0,(Howard Estabrook),Street of Chance 
115,1931,4,Actor in a Leading Role,1,Lionel Barrymore,A Free Soul
116,1931,4,Actor in a Leading Role,0,Jackie Cooper,Skippy
117,1931,4,Actor in a Leading Role,0,Richard Dix,Cimarron
118,1931,4,Actor in a Leading Role,0,Fredric March,The Royal Family of Broadway
119,1931,4,Actor in a Leading Role,0,Adolphe Menjou,The Front Page
120,1931,4,Actress in a Leading Role,0,Marlene Dietrich,Morocco
121,1931,4,Actress in a Leading Role,1,Marie Dressler,Min and Bill
122,1931,4,Actress in a Leading Role,0,Irene Dunne,Cimarron
123,1931,4,Actress in a Leading Role,0,Ann Harding,Holiday
124,1931,4,Actress in a Leading Role,0,Norma Shearer,A Free Soul
125,1931,4,Art Direction,1,Cimarron ,Max R̩e
126,1931,4,Art Direction,0,Just Imagine ,"Stephen Goosson, Ralph Hammeras"
127,1931,4,Art Direction,0,Morocco ,Hans Dreier
128,1931,4,Art Direction,0,Svengali ,Anton Grot
129,1931,4,Art Direction,0,Whoopee! ,Richard Day
130,1931,4,Cinematography,0,Cimarron ,Edward Cronjager
131,1931,4,Cinematography,0,Morocco ,Lee Garmes
132,1931,4,Cinematography,0,The Right to Love ,Charles Lang
133,1931,4,Cinematography,0,Svengali ,Barney Chick McGill
134,1931,4,Cinematography,1,Tabu ,Floyd Crosby
135,1931,4,Director,0,Wesley Ruggles,Cimarron 
136,1931,4,Director,0,Clarence Brown,A Free Soul 
137,1931,4,Director,0,Lewis Milestone,The Front Page 
138,1931,4,Director,0,Josef Von Sternberg,Morocco 
139,1931,4,Director,1,Norman Taurog,Skippy 
140,1931,4,Best Picture,1,RKO Radio,Cimarron 
141,1931,4,Best Picture,0,Fox,East Lynne 
142,1931,4,Best Picture,0,The Caddo Company,The Front Page 
143,1931,4,Best Picture,0,Paramount Publix,Skippy 
144,1931,4,Best Picture,0,Metro-Goldwyn-Mayer,Trader Horn 
145,1931,4,Sound Recording,0,Samuel Goldwyn - United Artists Studio Sound Department,
146,1931,4,Sound Recording,0,Metro-Goldwyn-Mayer Studio Sound Department,
147,1931,4,Sound Recording,1,Paramount Publix Studio Sound Department,
148,1931,4,Sound Recording,0,RKO Radio Studio Sound Department,
149,1931,4,Writing (Adapted Screenplay),1,Howard Estabrook,Cimarron 
150,1931,4,Writing (Adapted Screenplay),0,"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code 
151,1931,4,Writing (Adapted Screenplay),0,Horace Jackson,Holiday 
152,1931,4,Writing (Adapted Screenplay),0,"Francis Faragoh, Robert N. Lee",Little Caesar 
153,1931,4,Writing (Adapted Screenplay),0,"Joseph L. Mankiewicz, Sam Mintz",Skippy 
154,1931,4,Writing (Original Story),1,The Dawn Patrol ,John Monk Saunders
155,1931,4,Writing (Original Story),0,The Doorway to Hell ,Rowland Brown
156,1931,4,Writing (Original Story),0,Laughter ,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart"
157,1931,4,Writing (Original Story),0,The Public Enemy ,"John Bright, Kubec Glasmon"
